utcyearday,datetime,declination,horizforce,storm,fret
241.638889,-14731.96,45.6,-38.4,0.5,2 (A maj)
241.680556,-14731.92,17.5,-23,0.5,2 (A maj)
241.722222,-14731.88,47.6,-30.3,0.5,2 (A maj)
241.763889,-14731.83,46.1,-23.9,0.5,2 (A maj)
241.805556,-14731.79,45.9,-27.7,0.5,2 (A maj)
241.847222,-14731.75,45,-19.2,0.5,2 (A maj)
241.888889,-14731.71,43.3,-17.3,0.5,2 (A maj)
241.930556,-14731.67,41.4,-16.9,0.5,2 (A maj)
241.972222,-14731.63,41,-16.9,0.5,2 (A maj)
242.013889,-14731.58,39.6,-17.1,0.5,2 (A maj)
242.055556,-14731.54,40.9,-18.1,0.5,2 (A maj)
242.097222,-14731.50,42.1,-19.4,0.5,2 (A maj)
242.138889,-14731.46,44.2,-14.1,0.5,2 (A maj)
242.180556,-14731.42,47.4,-11.6,0.5,2 (A maj)
242.222222,-14731.38,46.8,-9.1,0.5,2 (A maj)
242.263889,-14731.33,49.1,-8.4,0.5,2 (A maj)
242.305556,-14731.29,40,-6.5,0.5,2 (A maj)
242.347222,-14731.25,47.2,-3.8,0.5,8 (Eb maj)
242.388889,-14731.21,47.2,-2.6,0.5,8 (Eb maj)
242.430556,-14731.17,46,-1.4,0.5,8 (Eb maj)
242.472222,-14731.13,44.1,-3,0.5,8 (Eb maj)
242.513889,-14731.08,42.5,-1.9,0.5,8 (Eb maj)
242.555556,-14731.04,42.3,-2.7,0.5,8 (Eb maj)
242.597222,-14731.00,43.9,-4.6,0.5,8 (Eb maj)
242.638889,-14730.96,44.1,-4.1,0.5,8 (Eb maj)
242.680556,-14730.92,44.2,-3.7,0.5,8 (Eb maj)
242.722222,-14730.88,45.1,-2.6,0.5,8 (Eb maj)
242.763889,-14730.83,44.9,-1.2,0.5,8 (Eb maj)
242.805556,-14730.79,44.7,-0.7,0.5,8 (Eb maj)
242.847222,-14730.75,44.2,-0.4,0.5,8 (Eb maj)
242.888889,-14730.71,44.1,-2.8,0.5,8 (Eb maj)
242.930556,-14730.67,43.4,-2.8,0.5,8 (Eb maj)
242.972222,-14730.63,41.6,-2.6,0.5,8 (Eb maj)
243.013889,-14730.58,42.2,-2.1,0.5,8 (Eb maj)
243.055556,-14730.54,44.2,-3.6,0.5,8 (Eb maj)
243.097222,-14730.50,46.8,-5.5,0.5,8 (Eb maj)
243.138889,-14730.46,50.6,-7,0.5,8 (Eb maj)
243.180556,-14730.42,56.5,-2.3,0.5,8 (Eb maj)
243.222222,-14730.38,55.3,1.2,0,8 (Eb maj)
243.263889,-14730.33,52.1,4.5,0,8 (Eb maj)
243.305556,-14730.29,50.2,4.8,0,8 (Eb maj)
243.347222,-14730.25,48.6,7.1,0,8 (Eb maj)
243.388889,-14730.21,49.6,6.4,0,8 (Eb maj)
243.430556,-14730.17,46.2,5.8,0,8 (Eb maj)
243.472222,-14730.13,44.6,7.2,0,8 (Eb maj)
243.513889,-14730.08,46.4,2.5,0,8 (Eb maj)
243.555556,-14730.04,45.3,2.9,0,8 (Eb maj)
243.597222,-14730.00,46,5.3,0,8 (Eb maj)
243.638889,-14729.96,46.1,5.4,0,8 (Eb maj)
243.680556,-14729.92,46.3,5.6,0,8 (Eb maj)
243.722222,-14729.88,46.3,5.8,0,8 (Eb maj)
243.763889,-14729.83,46.1,5.6,0,8 (Eb maj)
243.805556,-14729.79,46.1,6.4,0,8 (Eb maj)
243.847222,-14729.75,48,4.3,0,8 (Eb maj)
243.888889,-14729.71,47.4,5.5,0,3 (Bb maj)
243.930556,-14729.67,42.3,4.9,0,3 (Bb maj)
243.972222,-14729.63,40.6,5.4,0,3 (Bb maj)
244.013889,-14729.58,40.9,2,0,3 (Bb maj)
244.055556,-14729.54,42.3,-2.2,0,3 (Bb maj)
244.097222,-14729.50,45.7,-3.7,0,3 (Bb maj)
244.138889,-14729.46,50.1,-3.1,0,3 (Bb maj)
244.180556,-14729.42,55,-0.7,0,3 (Bb maj)
244.222222,-14729.38,55.1,-0.4,0,3 (Bb maj)
244.263889,-14729.33,54.1,2.8,0,3 (Bb maj)
244.305556,-14729.29,50.8,5.1,0,3 (Bb maj)
244.347222,-14729.25,47,1.3,0,3 (Bb maj)
244.388889,-14729.21,45.2,2.1,0,3 (Bb maj)
244.430556,-14729.17,43.4,2.1,0,3 (Bb maj)
244.472222,-14729.13,41.6,-0.5,0,3 (Bb maj)
244.513889,-14729.08,38.5,5.6,0,3 (Bb maj)
244.555556,-14729.04,39.6,-1.1,0,3 (Bb maj)
244.597222,-14729.00,40.5,-1.1,0,3 (Bb maj)
244.638889,-14728.96,40,-1.9,0,3 (Bb maj)
